LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
33.9589	34.1698	34.3489	34.3505	34.4133	34.5629	34.6228	34.7719	34.7615	34.9433	34.4192	35.1059	34.9197	+	3.56145	0.0505455	NP_001001535.1;XP_020930326.1	WT_BMD;DMD_BMD;DMD_WT
22.3485	22.338	22.6234	23.2194	22.9558	21.1955	21.1614	21.2777	24.3019	24.4225	21.1955	24.3705	24.2733	+	4.16639	0.0973333	XP_005665171.1;XP_005665169.1;NP_001009582.1	BMD_WT;DMD_WT;DMD_BMD
27.5197	27.6881	27.6335	27.6169	27.9211	27.811	27.8313	27.9876	28.0503	27.9143	27.8274	28.3247	28.0956	+	3.36749	0.04575	XP_005663912.1;NP_001070686.1;XP_005663911.1;XP_020922747.1	WT_BMD;DMD_BMD;DMD_WT
28.2546	28.2187	27.9993	28.2587	28.4496	28.4847	28.8294	28.4757	28.862	29.1308	28.6923	28.7076	29.402	+	3.13903	0.0461818	XP_005654459.1;NP_001090887.1	WT_BMD;DMD_BMD;DMD_WT
26.9409	26.9243	27.0798	26.9949	27.2364	27.3088	27.3999	27.4054	27.459	27.3295	27.1967	27.4491	27.5908	+	4.08762	0.06	NP_001092068.1	WT_BMD;DMD_BMD
29.0808	29.0779	29.4975	29.4687	29.6575	29.6679	29.8509	29.5726	30.0818	29.9943	29.6016	30.3109	30.114	+	4.03328	0.054	NP_001137400.1	WT_BMD;DMD_BMD;DMD_WT
30.6101	31.016	30.4607	30.2965	30.3055	30.4241	30.4281	30.0636	29.9365	29.6036	30.313	29.9004	29.5779	+	3.04021	0.0458462	XP_020930365.1;XP_020930364.1;XP_020930363.1;XP_005671766.1;XP_005671765.1;NP_001161101.2;XP_020930367.1;XP_020930366.1;XP_005671764.1;XP_005661691.1;XP_005661690.1	WT_DMD;BMD_DMD
26.8103	26.8802	26.8846	26.8443	26.8522	26.9263	26.8677	27.1326	27.1757	27.1846	26.8933	27.3782	27.1202	+	3.05634	0.0464	NP_001182048.1	DMD_BMD;DMD_WT
24.4877	24.6301	24.4071	24.4088	24.6144	24.7477	25.016	25.0296	25.0223	24.9262	24.9351	25.0316	25.155	+	3.20339	0.0453333	XP_013834051.1;NP_001230410.1	WT_BMD;DMD_BMD
27.5582	28.3607	27.752	27.5339	26.4349	27.3345	28.4344	27.5216	21.6298	21.4893	27.8542	22.8691	25.5252	+	3.82172	0.0611429	NP_001302695.1;NP_999411.2;XP_020949216.1;XP_020949221.1;XP_020949219.1;XP_020949218.1;XP_020949217.1;XP_020949222.1	WT_DMD;BMD_DMD
22.6518	22.9888	23.6175	23.314	28.3047	27.3444	28.1116	25.9981	21.8113	23.8168	28.2781	22.0527	23.2428	+	5.10187	0.08	NP_999553.1;CON__Q32PJ2	WT_DMD;WT_BMD
28.1645	28.2238	27.991	28.0882	28.0334	27.9119	27.8989	27.7739	27.8924	27.6316	27.8863	27.6559	27.562	+	2.98199	0.0485517	XP_020945990.1;XP_013852878.1;XP_020945982.1;XP_001929419.2;XP_020945981.1;XP_005663770.1;XP_003125974.1;XP_013852876.1;XP_013852879.1;XP_020945987.1;XP_013852880.1;XP_020945988.1;XP_020945983.1;XP_020945984.1;XP_020945985.1;XP_020945986.1;XP_020945980.1	WT_DMD;BMD_DMD;BMD_WT
30.14	30.2289	30.312	30.2782	30.2739	30.2963	30.3885	30.3825	30.5345	30.469	30.2243	30.5098	30.5025	+	3.4222	0.0450667	XP_003354050.1;XP_020939748.1;XP_003131380.1	DMD_BMD;DMD_WT
26.3081	26.1187	25.9349	26.4333	26.3421	26.1252	25.8649	26.0361	24.8314	25.0844	25.5455	25.1177	24.5878	+	4.13953	0.073	XP_003359993.1	WT_DMD;BMD_DMD
28.8513	28.5759	28.6125	29.3479	28.5367	28.0311	28.8755	28.9596	29.6061	30.417	28.4769	30.7404	29.8308	+	3.23986	0.0448	XP_005660429.1;XP_020923626.1;XP_005660428.1	DMD_WT;DMD_BMD
22.8333	25.8707	22.4927	24.2311	26.0495	26.898	26.8547	25.8712	26.7988	27.1215	26.6115	27.6721	27.2311	+	3.00547	0.0499259	XP_005663322.1	WT_BMD;DMD_BMD
29.2542	29.4493	29.1905	29.2467	29.0484	29.1061	29.159	29.0377	28.8576	28.7592	29.1275	28.3998	28.7811	+	3.55104	0.048	XP_005670765.1	WT_DMD;BMD_DMD
26.6972	26.5797	26.8494	27.0661	26.9772	26.9817	27.1801	27.1529	27.21	27.4635	27.0809	27.5455	27.3834	+	3.10319	0.0446667	XP_013846116.1	DMD_BMD;DMD_WT
31.9278	32.1463	32.023	31.9456	32.1047	32.1698	32.2085	32.1875	32.3489	32.3699	32.0985	32.321	32.2519	+	3.54714	0.0446154	XP_013849361.2	WT_BMD;DMD_BMD;DMD_WT
27.7021	27.7594	27.9307	27.6598	28.3789	27.9947	28.2855	28.4567	28.6456	28.6582	28.7255	29.3568	29.4565	+	3.2995	0.0457778	XP_020937318.1;XP_020937314.1;XP_020937310.1;XP_013849955.2;NP_001165834.1	WT_BMD;DMD_BMD;DMD_WT
31.4482	31.4842	31.2753	31.5011	31.2429	31.2097	31.281	31.2697	31.0273	30.7475	30.9668	30.272	30.5245	+	3.11118	0.0457391	XP_020923466.1;XP_005655336.1;XP_003131991.2;XP_020923468.1	WT_DMD;BMD_DMD
20.9959	22.6973	22.0675	24.0823	22.4136	22.6194	21.0373	21.8213	25.7648	25.6659	22.6197	25.1112	25.5182	+	3.57198	0.0556	XP_020927969.1;XP_020927964.1;XP_020927962.1;XP_020927957.1;XP_020927948.1;XP_020927942.1;XP_020927939.1;XP_020927932.1;XP_020927926.1;XP_020927920.1;XP_020927918.1;XP_020927913.1;XP_020927911.1;XP_020927986.1;XP_020927985.1;XP_020927979.1	DMD_WT;DMD_BMD
31.723	31.705	31.8038	31.7574	31.7004	31.5824	31.6107	31.4153	31.9298	31.8679	31.5467	32.045	31.8649	+	3.5032	0.0437143	XP_020933911.1	BMD_WT;DMD_WT;DMD_BMD
29.5761	30.2239	29.8342	29.0479	29.7147	30.057	29.3847	29.1576	21.3314	22.9333	29.5264	24.6216	25.2919	+	5.11703	0.16	XP_020935204.1;XP_020935202.1;XP_020935203.1;XP_020935205.1;XP_020935206.1;XP_020935207.1;XP_020935208.1;XP_020935209.1;XP_020935213.1;XP_020935210.1;XP_020935212.1;XP_020935215.1;XP_020935214.1;XP_020935216.1;XP_020935217.1;XP_020935218.1;XP_020935219.1;XP_013841754.1;XP_005673820.1;XP_013841753.1;XP_005673821.1;XP_013841755.1	WT_DMD;BMD_DMD
28.5925	28.6445	28.4503	28.5074	28.1965	28.4276	28.0557	28.1437	27.8791	27.5488	27.9935	27.366	26.8021	+	3.36005	0.0435294	XP_020939716.1;XP_020939714.1;XP_020939713.1;XP_020939715.1;XP_020939717.1	WT_DMD;BMD_DMD
