x	y
30	3.77286
29.99	3.77288
29.98	3.7729
29.97	3.77293
29.96	3.77295
29.95	3.77297
29.94	3.77299
29.93	3.77301
29.92	3.77304
29.91	3.77306
29.9	3.77308
29.89	3.7731
29.88	3.77312
29.87	3.77315
29.86	3.77317
29.85	3.77319
29.84	3.77321
29.83	3.77324
29.82	3.77326
29.81	3.77328
29.8	3.7733
29.79	3.77332
29.78	3.77335
29.77	3.77337
29.76	3.77339
29.75	3.77341
29.74	3.77344
29.73	3.77346
29.72	3.77348
29.71	3.7735
29.7	3.77353
29.69	3.77355
29.68	3.77357
29.67	3.77359
29.66	3.77362
29.65	3.77364
29.64	3.77366
29.63	3.77368
29.62	3.77371
29.61	3.77373
29.6	3.77375
29.59	3.77377
29.58	3.7738
29.57	3.77382
29.56	3.77384
29.55	3.77386
29.54	3.77389
29.53	3.77391
29.52	3.77393
29.51	3.77395
29.5	3.77398
29.49	3.774
29.48	3.77402
29.47	3.77405
29.46	3.77407
29.45	3.77409
29.44	3.77411
29.43	3.77414
29.42	3.77416
29.41	3.77418
29.4	3.7742
29.39	3.77423
29.38	3.77425
29.37	3.77427
29.36	3.7743
29.35	3.77432
29.34	3.77434
29.33	3.77437
29.32	3.77439
29.31	3.77441
29.3	3.77443
29.29	3.77446
29.28	3.77448
29.27	3.7745
29.26	3.77453
29.25	3.77455
29.24	3.77457
29.23	3.7746
29.22	3.77462
29.21	3.77464
29.2	3.77467
29.19	3.77469
29.18	3.77471
29.17	3.77474
29.16	3.77476
29.15	3.77478
29.14	3.77481
29.13	3.77483
29.12	3.77485
29.11	3.77488
29.1	3.7749
29.09	3.77492
29.08	3.77495
29.07	3.77497
29.06	3.77499
29.05	3.77502
29.04	3.77504
29.03	3.77506
29.02	3.77509
29.01	3.77511
29	3.77513
28.99	3.77516
28.98	3.77518
28.97	3.7752
28.96	3.77523
28.95	3.77525
28.94	3.77527
28.93	3.7753
28.92	3.77532
28.91	3.77535
28.9	3.77537
28.89	3.77539
28.88	3.77542
28.87	3.77544
28.86	3.77546
28.85	3.77549
28.84	3.77551
28.83	3.77554
28.82	3.77556
28.81	3.77558
28.8	3.77561
28.79	3.77563
28.78	3.77565
28.77	3.77568
28.76	3.7757
28.75	3.77573
28.74	3.77575
28.73	3.77577
28.72	3.7758
28.71	3.77582
28.7	3.77585
28.69	3.77587
28.68	3.77589
28.67	3.77592
28.66	3.77594
28.65	3.77597
28.64	3.77599
28.63	3.77601
28.62	3.77604
28.61	3.77606
28.6	3.77609
28.59	3.77611
28.58	3.77614
28.57	3.77616
28.56	3.77618
28.55	3.77621
28.54	3.77623
28.53	3.77626
28.52	3.77628
28.51	3.77631
28.5	3.77633
28.49	3.77635
28.48	3.77638
28.47	3.7764
28.46	3.77643
28.45	3.77645
28.44	3.77648
28.43	3.7765
28.42	3.77653
28.41	3.77655
28.4	3.77657
28.39	3.7766
28.38	3.77662
28.37	3.77665
28.36	3.77667
28.35	3.7767
28.34	3.77672
28.33	3.77675
28.32	3.77677
28.31	3.7768
28.3	3.77682
28.29	3.77685
28.28	3.77687
28.27	3.77689
28.26	3.77692
28.25	3.77694
28.24	3.77697
28.23	3.77699
28.22	3.77702
