x	y
30	2.1216
29.99	2.12161
29.98	2.12162
29.97	2.12163
29.96	2.12164
29.95	2.12164
29.94	2.12165
29.93	2.12166
29.92	2.12167
29.91	2.12168
29.9	2.12169
29.89	2.1217
29.88	2.12171
29.87	2.12172
29.86	2.12172
29.85	2.12173
29.84	2.12174
29.83	2.12175
29.82	2.12176
29.81	2.12177
29.8	2.12178
29.79	2.12179
29.78	2.12179
29.77	2.1218
29.76	2.12181
29.75	2.12182
29.74	2.12183
29.73	2.12184
29.72	2.12185
29.71	2.12186
29.7	2.12187
29.69	2.12187
29.68	2.12188
29.67	2.12189
29.66	2.1219
29.65	2.12191
29.64	2.12192
29.63	2.12193
29.62	2.12194
29.61	2.12195
29.6	2.12196
29.59	2.12196
29.58	2.12197
29.57	2.12198
29.56	2.12199
29.55	2.122
29.54	2.12201
29.53	2.12202
29.52	2.12203
29.51	2.12204
29.5	2.12205
29.49	2.12205
29.48	2.12206
29.47	2.12207
29.46	2.12208
29.45	2.12209
29.44	2.1221
29.43	2.12211
29.42	2.12212
29.41	2.12213
29.4	2.12214
29.39	2.12215
29.38	2.12215
29.37	2.12216
29.36	2.12217
29.35	2.12218
29.34	2.12219
29.33	2.1222
29.32	2.12221
29.31	2.12222
29.3	2.12223
29.29	2.12224
29.28	2.12225
29.27	2.12226
29.26	2.12226
29.25	2.12227
29.24	2.12228
29.23	2.12229
29.22	2.1223
29.21	2.12231
29.2	2.12232
29.19	2.12233
29.18	2.12234
29.17	2.12235
29.16	2.12236
29.15	2.12237
29.14	2.12238
29.13	2.12238
29.12	2.12239
29.11	2.1224
29.1	2.12241
29.09	2.12242
29.08	2.12243
29.07	2.12244
29.06	2.12245
29.05	2.12246
29.04	2.12247
29.03	2.12248
29.02	2.12249
29.01	2.1225
29	2.12251
28.99	2.12251
28.98	2.12252
28.97	2.12253
28.96	2.12254
28.95	2.12255
28.94	2.12256
28.93	2.12257
28.92	2.12258
28.91	2.12259
28.9	2.1226
28.89	2.12261
28.88	2.12262
28.87	2.12263
28.86	2.12264
28.85	2.12265
28.84	2.12266
28.83	2.12267
28.82	2.12268
28.81	2.12268
28.8	2.12269
28.79	2.1227
28.78	2.12271
28.77	2.12272
28.76	2.12273
28.75	2.12274
28.74	2.12275
28.73	2.12276
28.72	2.12277
28.71	2.12278
28.7	2.12279
28.69	2.1228
28.68	2.12281
28.67	2.12282
28.66	2.12283
28.65	2.12284
28.64	2.12285
28.63	2.12286
28.62	2.12287
28.61	2.12288
28.6	2.12289
28.59	2.1229
28.58	2.1229
28.57	2.12291
28.56	2.12292
28.55	2.12293
28.54	2.12294
28.53	2.12295
28.52	2.12296
28.51	2.12297
28.5	2.12298
28.49	2.12299
28.48	2.123
28.47	2.12301
28.46	2.12302
28.45	2.12303
28.44	2.12304
28.43	2.12305
28.42	2.12306
28.41	2.12307
28.4	2.12308
28.39	2.12309
28.38	2.1231
28.37	2.12311
28.36	2.12312
28.35	2.12313
28.34	2.12314
28.33	2.12315
28.32	2.12316
28.31	2.12317
28.3	2.12318
28.29	2.12319
28.28	2.1232
28.27	2.12321
28.26	2.12322
28.25	2.12323
28.24	2.12324
28.23	2.12325
28.22	2.12326
28.21	2.12327
28.2	2.12328
28.19	2.12329
28.18	2.1233
28.17	2.12331
28.16	2.12332
28.15	2.12333
28.14	2.12334
28.13	2.12335
28.12	2.12336
28.11	2.12337
28.1	2.12338
28.09	2.12339
28.08	2.1234
28.07	2.12341
28.06	2.12342
28.05	2.12343
28.04	2.12344
28.03	2.12345
28.02	2.12346
28.01	2.12347
28	2.12348
27.99	2.12349
27.98	2.1235
27.97	2.12351
27.96	2.12352
27.95	2.12353
27.94	2.12354
27.93	2.12355
27.92	2.12356
27.91	2.12357
27.9	2.12358
27.89	2.12359
27.88	2.1236
27.87	2.12361
27.86	2.12362
27.85	2.12363
27.84	2.12364
27.83	2.12365
27.82	2.12366
27.81	2.12367
27.8	2.12368
27.79	2.12369
27.78	2.1237
27.77	2.12371
27.76	2.12372
27.75	2.12373
27.74	2.12374
27.73	2.12375
27.72	2.12376
27.71	2.12377
27.7	2.12378
27.69	2.12379
27.68	2.1238
27.67	2.12381
27.66	2.12382
27.65	2.12383
27.64	2.12384
27.63	2.12385
27.62	2.12386
27.61	2.12387
27.6	2.12388
27.59	2.12389
27.58	2.1239
27.57	2.12391
27.56	2.12392
27.55	2.12394
27.54	2.12395
27.53	2.12396
27.52	2.12397
27.51	2.12398
27.5	2.12399
27.49	2.124
27.48	2.12401
27.47	2.12402
27.46	2.12403
27.45	2.12404
27.44	2.12405
27.43	2.12406
27.42	2.12407
27.41	2.12408
27.4	2.12409
27.39	2.1241
27.38	2.12411
27.37	2.12412
27.36	2.12413
27.35	2.12414
27.34	2.12416
27.33	2.12417
27.32	2.12418
27.31	2.12419
27.3	2.1242
27.29	2.12421
27.28	2.12422
27.27	2.12423
27.26	2.12424
27.25	2.12425
27.24	2.12426
27.23	2.12427
27.22	2.12428
27.21	2.12429
27.2	2.1243
27.19	2.12431
27.18	2.12432
27.17	2.12434
27.16	2.12435
27.15	2.12436
27.14	2.12437
27.13	2.12438
27.12	2.12439
27.11	2.1244
27.1	2.12441
27.09	2.12442
27.08	2.12443
27.07	2.12444
27.06	2.12445
27.05	2.12446
27.04	2.12448
27.03	2.12449
27.02	2.1245
27.01	2.12451
27	2.12452
26.99	2.12453
26.98	2.12454
26.97	2.12455
26.96	2.12456
26.95	2.12457
26.94	2.12458
26.93	2.12459
26.92	2.1246
26.91	2.12462
26.9	2.12463
26.89	2.12464
26.88	2.12465
26.87	2.12466
26.86	2.12467
26.85	2.12468
26.84	2.12469
26.83	2.1247
26.82	2.12471
26.81	2.12473
26.8	2.12474
26.79	2.12475
26.78	2.12476
26.77	2.12477
26.76	2.12478
26.75	2.12479
26.74	2.1248
26.73	2.12481
26.72	2.12482
26.71	2.12484
26.7	2.12485
26.69	2.12486
26.68	2.12487
26.67	2.12488
26.66	2.12489
26.65	2.1249
26.64	2.12491
26.63	2.12492
26.62	2.12494
26.61	2.12495
26.6	2.12496
26.59	2.12497
26.58	2.12498
26.57	2.12499
26.56	2.125
26.55	2.12501
26.54	2.12502
26.53	2.12504
26.52	2.12505
26.51	2.12506
26.5	2.12507
26.49	2.12508
26.48	2.12509
26.47	2.1251
26.46	2.12511
26.45	2.12513
26.44	2.12514
26.43	2.12515
26.42	2.12516
26.41	2.12517
26.4	2.12518
26.39	2.12519
26.38	2.1252
26.37	2.12522
26.36	2.12523
26.35	2.12524
26.34	2.12525
26.33	2.12526
26.32	2.12527
26.31	2.12528
26.3	2.1253
26.29	2.12531
26.28	2.12532
26.27	2.12533
26.26	2.12534
26.25	2.12535
26.24	2.12536
26.23	2.12538
26.22	2.12539
26.21	2.1254
26.2	2.12541
26.19	2.12542
26.18	2.12543
26.17	2.12544
26.16	2.12546
26.15	2.12547
26.14	2.12548
26.13	2.12549
26.12	2.1255
26.11	2.12551
26.1	2.12553
26.09	2.12554
26.08	2.12555
26.07	2.12556
26.06	2.12557
26.05	2.12558
26.04	2.1256
26.03	2.12561
26.02	2.12562
26.01	2.12563
26	2.12564
25.99	2.12565
25.98	2.12567
25.97	2.12568
25.96	2.12569
25.95	2.1257
25.94	2.12571
25.93	2.12572
25.92	2.12574
25.91	2.12575
25.9	2.12576
25.89	2.12577
25.88	2.12578
25.87	2.12579
25.86	2.12581
25.85	2.12582
25.84	2.12583
25.83	2.12584
25.82	2.12585
25.81	2.12587
25.8	2.12588
25.79	2.12589
25.78	2.1259
25.77	2.12591
25.76	2.12592
25.75	2.12594
25.74	2.12595
25.73	2.12596
25.72	2.12597
25.71	2.12598
25.7	2.126
25.69	2.12601
25.68	2.12602
25.67	2.12603
25.66	2.12604
25.65	2.12606
25.64	2.12607
25.63	2.12608
25.62	2.12609
25.61	2.1261
25.6	2.12612
25.59	2.12613
25.58	2.12614
25.57	2.12615
25.56	2.12616
25.55	2.12618
25.54	2.12619
25.53	2.1262
25.52	2.12621
25.51	2.12622
25.5	2.12624
25.49	2.12625
25.48	2.12626
25.47	2.12627
25.46	2.12629
25.45	2.1263
25.44	2.12631
25.43	2.12632
25.42	2.12633
25.41	2.12635
25.4	2.12636
25.39	2.12637
25.38	2.12638
25.37	2.1264
25.36	2.12641
25.35	2.12642
25.34	2.12643
25.33	2.12644
25.32	2.12646
25.31	2.12647
25.3	2.12648
25.29	2.12649
25.28	2.12651
25.27	2.12652
25.26	2.12653
25.25	2.12654
25.24	2.12656
25.23	2.12657
25.22	2.12658
25.21	2.12659
25.2	2.12661
25.19	2.12662
25.18	2.12663
25.17	2.12664
25.16	2.12666
25.15	2.12667
25.14	2.12668
25.13	2.12669
25.12	2.12671
25.11	2.12672
25.1	2.12673
25.09	2.12674
25.08	2.12676
25.07	2.12677
25.06	2.12678
25.05	2.12679
25.04	2.12681
25.03	2.12682
25.02	2.12683
25.01	2.12684
25	2.12686
24.99	2.12687
24.98	2.12688
24.97	2.12689
24.96	2.12691
24.95	2.12692
24.94	2.12693
24.93	2.12695
24.92	2.12696
24.91	2.12697
24.9	2.12698
24.89	2.127
24.88	2.12701
24.87	2.12702
24.86	2.12703
24.85	2.12705
24.84	2.12706
24.83	2.12707
