Significant	-Log(P-value)	Difference	Protein_IDs	Symbol color	Symbol type	Symbol size	Show label	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234
	0.601494408423279	-0.277971935272216	NP_001001534.1;XP_020955566.1	Color2 [DarkGray]	1	4		29.7936477661133	30.4089221954346	30.4171962738037	30.3063907623291	29.8797016143799	30.2283706665039	30.8334159851074	29.8202514648438	30.3674468994141
+	3.75005156072723	1.28623123168945	NP_001001535.1;XP_020930326.1	Color2 [DarkGray]	1	4		31.6416854858398	31.8596057891846	31.8033962249756	31.9194011688232	33.0427513122559	33.0450668334961	31.087272644043	32.8066635131836	32.8995323181152
+	2.70655314661263	1.27332763671875	NP_001001539.1;XP_020934157.1;XP_020934156.1;XP_020919735.1;XP_020919734.1;XP_013835806.1;XP_013835805.1;NP_001038033.2	Color2 [DarkGray]	1	4		29.1096115112305	28.8815994262695	28.9363231658936	28.5710182189941	29.9453105926514	29.98508644104	27.9824504852295	30.3647365570068	29.5829792022705
	0.759643816487729	0.623339080810545	NP_001001542.1	Color2 [DarkGray]	1	4		23.6636199951172	24.4620761871338	25.6713352203369	25.0834674835205	25.2653865814209	25.6511631011963	24.827356338501	24.8839015960693	25.6591892242432
+	1.5111326613269	3.11585559844971	XP_013842818.1;NP_001001587.1	Color2 [DarkGray]	1	4		24.7248401641846	24.2693519592285	20.2727222442627	20.3326950073242	24.9377326965332	24.900857925415	20.4984264373779	25.3265285491943	25.3767318725586
+	1.4300730726667	2.18332414627075	NP_001001634.1	Color2 [DarkGray]	1	4		24.7191047668457	24.580436706543	21.4737815856934	24.6259479522705	25.4989013671875	25.8494529724121	21.7200946807861	25.4955196380615	25.5849151611328
+	1.35894384445057	2.97813682556152	NP_001001636.1;XP_020924241.1;XP_020955745.1	Color2 [DarkGray]	1	4		20.2639465332031	20.076831817627	22.1267108917236	24.8183135986328	24.6176776885986	25.559642791748	24.86448097229	25.5283546447754	25.9270992279053
+	1.96475211641814	0.359801483154296	NP_001001637.1;XP_005671774.1;XP_005671773.1	Color2 [DarkGray]	1	4		30.2315769195557	30.3071517944336	30.0767364501953	29.9345245361328	30.5103187561035	30.3962173461914	30.1428489685059	30.7345695495605	30.3523712158203
+	3.06679802170752	3.2139594078064	NP_001001638.1	Color2 [DarkGray]	1	4		21.5230140686035	21.3282852172852	19.3514919281006	21.54274559021	24.4171237945557	24.4631366729736	22.3842277526855	24.1603870391846	24.7190017700195
+	3.76226321675822	0.749114704132079	NP_001001643.1	Color2 [DarkGray]	1	4		27.581615447998	27.3714408874512	27.4038944244385	27.3378162384033	27.9691162109375	27.9868507385254	27.2698154449463	28.2570533752441	28.3551044464111
	0.426144566961059	-1.91159639358521	NP_001001771.1	Color2 [DarkGray]	1	4		22.2074775695801	24.954158782959	27.5466461181641	26.6730346679688	20.372730255127	26.4788017272949	26.8837852478027	20.468900680542	27.645263671875
	1.08857839838138	-0.46359033584595	NP_001001862.1	Color2 [DarkGray]	1	4		33.1889266967773	32.782772064209	32.4674034118652	32.3567848205566	31.8598651885986	32.3251724243164	33.0286293029785	32.6137733459473	32.4064407348633
+	5.70586860457539	1.31986656188965	NP_001001867.1	Color2 [DarkGray]	1	4		28.7535018920898	28.7156791687012	28.7465667724609	28.8657302856445	30.1890735626221	30.0447902679443	28.4690971374512	29.8847751617432	30.0012874603271
+	3.19435944095436	4.18512277603149	XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	Color2 [DarkGray]	1	4		19.2982215881348	22.0086097717285	21.5965137481689	22.2005634307861	25.0583343505859	25.5290107727051	19.5613861083984	24.9981746673584	24.88720703125
	0.526224694488364	1.3280966758728	NP_001002817.1;XP_020944152.1;NP_001171994.1	Color2 [DarkGray]	1	4		21.6516742706299	26.4326095581055	26.6193294525146	27.1201076507568	26.8109073638916	26.7250747680664	26.5041694641113	26.4964809417725	27.9422359466553
+	5.21877049541878	2.49321727752686	NP_001004043.1	Color2 [DarkGray]	1	4		25.1382904052734	24.7189483642578	25.0240306854248	25.0815181732178	27.2921962738037	27.6651935577393	25.5616245269775	27.4267845153809	28.0082244873047
+	3.10258701206777	4.1932469367981	NP_001004045.1	Color2 [DarkGray]	1	4		21.7169227600098	19.1169471740723	21.6587562561035	19.4045658111572	25.2158241271973	24.0045318603516	21.8449325561523	25.3596782684326	25.186653137207
	0.441481438444798	0.590024185180663	NP_001004050.1;XP_020939260.1	Color2 [DarkGray]	1	4		24.2687797546387	24.6143112182617	24.1785850524902	21.6663970947266	24.2212562561035	24.0831031799316	23.9112281799316	24.5443344116211	24.4228439331055
+	1.87692443910959	2.53545875549316	XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	Color2 [DarkGray]	1	4		20.8002510070801	23.5214519500732	23.9850273132324	23.810489654541	25.1339473724365	24.6520652770996	21.9082431793213	25.2527027130127	26.3234901428223
