LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
31.3384	31.4659	31.1881	31.6218	31.6417	31.8596	31.8034	31.9194	33.0428	33.0451	31.0873	32.8067	32.8995	+	5.06979	0.000336449	NP_001001535.1;XP_020930326.1	DMD_BMD;DMD_WT
28.6937	28.6501	28.3852	28.9551	29.1096	28.8816	28.9363	28.571	29.9453	29.9851	27.9825	30.3647	29.583	+	3.32962	0.000524017	NP_001001539.1;XP_020934157.1;XP_020934156.1;XP_020919735.1;XP_020919734.1;XP_013835806.1;XP_013835805.1;NP_001038033.2	DMD_BMD;DMD_WT
20.2018	20.3141	20.4427	20.2848	24.7248	24.2694	20.2727	20.3327	24.9377	24.9009	20.4984	25.3265	25.3767	+	2.59936	0.00166452	XP_013842818.1;NP_001001587.1	DMD_BMD;DMD_WT
21.4534	24.3231	24.7862	21.5105	24.7191	24.5804	21.4738	24.6259	25.4989	25.8495	21.7201	25.4955	25.5849	+	1.22925	0.0263908	NP_001001634.1	
22.1338	21.5414	21.6581	22.1768	20.2639	20.0768	22.1267	24.8183	24.6177	25.5596	24.8645	25.5284	25.9271	+	1.77985	0.00724229	NP_001001636.1;XP_020924241.1;XP_020955745.1	DMD_BMD;DMD_WT
30.646	30.0666	30.3437	29.9606	30.2316	30.3072	30.0767	29.9345	30.5103	30.3962	30.1428	30.7346	30.3524	+	1.08326	0.0382685	NP_001001637.1;XP_005671774.1;XP_005671773.1	
19.2417	22.2086	22.3189	19.3446	21.523	21.3283	19.3515	21.5427	24.4171	24.4631	22.3842	24.1604	24.719	+	2.61084	0.00161039	NP_001001638.1	DMD_BMD;DMD_WT
26.94	27.1338	27.1987	27.2206	27.5816	27.3714	27.4039	27.3378	27.9691	27.9869	27.2698	28.2571	28.3551	+	5.29132	0.000375	NP_001001643.1	DMD_BMD;DMD_WT
28.4457	28.3994	28.4624	28.5017	28.7535	28.7157	28.7466	28.8657	30.1891	30.0448	28.4691	29.8848	30.0013	+	8.17987	0	NP_001001867.1	WT_BMD;DMD_BMD;DMD_WT
21.5813	19.3727	19.5104	21.6357	19.2982	22.0086	21.5965	22.2006	25.0583	25.529	19.5614	24.9982	24.8872	+	3.57374	0.0004	XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	DMD_BMD;DMD_WT
24.201	24.424	25.0928	24.7491	25.1383	24.7189	25.024	25.0815	27.2922	27.6652	25.5616	27.4268	28.0082	+	6.47338	0.000410256	NP_001004043.1	DMD_BMD;DMD_WT
21.6462	21.6668	21.7823	21.6992	21.7169	19.1169	21.6588	19.4046	25.2158	24.0045	21.8449	25.3597	25.1867	+	3.81427	0.000316384	NP_001004045.1	DMD_WT;DMD_BMD
