x	y
30	4.2258
29.99	4.22583
29.98	4.22585
29.97	4.22588
29.96	4.22591
29.95	4.22593
29.94	4.22596
29.93	4.22599
29.92	4.22602
29.91	4.22604
29.9	4.22607
29.89	4.2261
29.88	4.22612
29.87	4.22615
29.86	4.22618
29.85	4.2262
29.84	4.22623
29.83	4.22626
29.82	4.22628
29.81	4.22631
29.8	4.22634
29.79	4.22636
29.78	4.22639
29.77	4.22642
29.76	4.22645
29.75	4.22647
29.74	4.2265
29.73	4.22653
29.72	4.22655
29.71	4.22658
29.7	4.22661
29.69	4.22664
29.68	4.22666
29.67	4.22669
29.66	4.22672
29.65	4.22674
29.64	4.22677
29.63	4.2268
29.62	4.22683
29.61	4.22685
29.6	4.22688
29.59	4.22691
29.58	4.22694
29.57	4.22696
29.56	4.22699
29.55	4.22702
29.54	4.22705
29.53	4.22707
29.52	4.2271
29.51	4.22713
29.5	4.22716
29.49	4.22718
29.48	4.22721
29.47	4.22724
29.46	4.22727
29.45	4.22729
29.44	4.22732
29.43	4.22735
29.42	4.22738
29.41	4.22741
29.4	4.22743
29.39	4.22746
29.38	4.22749
29.37	4.22752
29.36	4.22754
29.35	4.22757
29.34	4.2276
29.33	4.22763
29.32	4.22766
29.31	4.22768
29.3	4.22771
29.29	4.22774
29.28	4.22777
29.27	4.2278
29.26	4.22782
29.25	4.22785
29.24	4.22788
29.23	4.22791
29.22	4.22794
29.21	4.22796
29.2	4.22799
29.19	4.22802
29.18	4.22805
29.17	4.22808
29.16	4.2281
29.15	4.22813
29.14	4.22816
29.13	4.22819
29.12	4.22822
29.11	4.22825
29.1	4.22827
29.09	4.2283
29.08	4.22833
29.07	4.22836
29.06	4.22839
29.05	4.22842
29.04	4.22844
29.03	4.22847
29.02	4.2285
29.01	4.22853
29	4.22856
28.99	4.22859
28.98	4.22862
28.97	4.22864
28.96	4.22867
28.95	4.2287
28.94	4.22873
28.93	4.22876
28.92	4.22879
28.91	4.22882
28.9	4.22884
28.89	4.22887
28.88	4.2289
28.87	4.22893
28.86	4.22896
28.85	4.22899
28.84	4.22902
28.83	4.22905
28.82	4.22907
