x	y
30	0.844622
29.99	0.844624
29.98	0.844626
29.97	0.844627
29.96	0.844629
29.95	0.844631
29.94	0.844633
29.93	0.844635
29.92	0.844637
29.91	0.844639
29.9	0.844641
29.89	0.844643
29.88	0.844645
29.87	0.844647
29.86	0.844649
29.85	0.84465
29.84	0.844652
29.83	0.844654
29.82	0.844656
29.81	0.844658
29.8	0.84466
29.79	0.844662
29.78	0.844664
29.77	0.844666
29.76	0.844668
29.75	0.84467
29.74	0.844672
29.73	0.844674
29.72	0.844676
29.71	0.844677
29.7	0.844679
29.69	0.844681
29.68	0.844683
29.67	0.844685
29.66	0.844687
29.65	0.844689
29.64	0.844691
29.63	0.844693
29.62	0.844695
29.61	0.844697
29.6	0.844699
29.59	0.844701
29.58	0.844703
29.57	0.844705
29.56	0.844707
29.55	0.844709
29.54	0.844711
29.53	0.844713
29.52	0.844715
29.51	0.844716
29.5	0.844718
29.49	0.84472
29.48	0.844722
29.47	0.844724
29.46	0.844726
29.45	0.844728
29.44	0.84473
29.43	0.844732
29.42	0.844734
29.41	0.844736
29.4	0.844738
29.39	0.84474
29.38	0.844742
29.37	0.844744
29.36	0.844746
29.35	0.844748
29.34	0.84475
29.33	0.844752
29.32	0.844754
29.31	0.844756
29.3	0.844758
29.29	0.84476
29.28	0.844762
29.27	0.844764
29.26	0.844766
29.25	0.844768
29.24	0.84477
29.23	0.844772
29.22	0.844774
29.21	0.844776
29.2	0.844778
29.19	0.84478
29.18	0.844782
29.17	0.844784
29.16	0.844786
29.15	0.844788
29.14	0.84479
29.13	0.844792
29.12	0.844794
29.11	0.844796
29.1	0.844798
29.09	0.8448
29.08	0.844802
29.07	0.844804
29.06	0.844806
29.05	0.844808
29.04	0.84481
29.03	0.844812
29.02	0.844814
29.01	0.844816
29	0.844818
28.99	0.84482
28.98	0.844823
28.97	0.844825
28.96	0.844827
28.95	0.844829
28.94	0.844831
28.93	0.844833
28.92	0.844835
28.91	0.844837
28.9	0.844839
28.89	0.844841
28.88	0.844843
28.87	0.844845
28.86	0.844847
28.85	0.844849
28.84	0.844851
28.83	0.844853
28.82	0.844855
28.81	0.844857
28.8	0.844859
28.79	0.844862
28.78	0.844864
28.77	0.844866
28.76	0.844868
28.75	0.84487
28.74	0.844872
28.73	0.844874
28.72	0.844876
28.71	0.844878
28.7	0.84488
28.69	0.844882
28.68	0.844884
28.67	0.844886
28.66	0.844889
28.65	0.844891
28.64	0.844893
28.63	0.844895
28.62	0.844897
28.61	0.844899
28.6	0.844901
28.59	0.844903
28.58	0.844905
28.57	0.844907
28.56	0.844909
28.55	0.844912
28.54	0.844914
28.53	0.844916
28.52	0.844918
28.51	0.84492
28.5	0.844922
28.49	0.844924
28.48	0.844926
28.47	0.844928
28.46	0.84493
28.45	0.844933
28.44	0.844935
28.43	0.844937
28.42	0.844939
28.41	0.844941
28.4	0.844943
28.39	0.844945
28.38	0.844947
28.37	0.84495
28.36	0.844952
28.35	0.844954
28.34	0.844956
28.33	0.844958
28.32	0.84496
28.31	0.844962
28.3	0.844964
28.29	0.844967
28.28	0.844969
28.27	0.844971
28.26	0.844973
28.25	0.844975
28.24	0.844977
28.23	0.844979
28.22	0.844982
28.21	0.844984
28.2	0.844986
28.19	0.844988
28.18	0.84499
28.17	0.844992
28.16	0.844995
28.15	0.844997
28.14	0.844999
28.13	0.845001
28.12	0.845003
28.11	0.845005
28.1	0.845008
28.09	0.84501
28.08	0.845012
28.07	0.845014
28.06	0.845016
28.05	0.845018
28.04	0.845021
28.03	0.845023
28.02	0.845025
28.01	0.845027
28	0.845029
27.99	0.845031
27.98	0.845034
27.97	0.845036
27.96	0.845038
27.95	0.84504
27.94	0.845042
27.93	0.845045
27.92	0.845047
27.91	0.845049
27.9	0.845051
27.89	0.845053
27.88	0.845056
27.87	0.845058
27.86	0.84506
27.85	0.845062
27.84	0.845064
27.83	0.845067
27.82	0.845069
27.81	0.845071
27.8	0.845073
27.79	0.845075
27.78	0.845078
27.77	0.84508
27.76	0.845082
27.75	0.845084
27.74	0.845087
27.73	0.845089
27.72	0.845091
27.71	0.845093
27.7	0.845096
27.69	0.845098
27.68	0.8451
27.67	0.845102
27.66	0.845104
27.65	0.845107
27.64	0.845109
27.63	0.845111
27.62	0.845113
27.61	0.845116
27.6	0.845118
27.59	0.84512
27.58	0.845122
27.57	0.845125
27.56	0.845127
27.55	0.845129
27.54	0.845131
27.53	0.845134
27.52	0.845136
27.51	0.845138
27.5	0.84514
27.49	0.845143
27.48	0.845145
27.47	0.845147
27.46	0.84515
27.45	0.845152
27.44	0.845154
27.43	0.845156
27.42	0.845159
27.41	0.845161
27.4	0.845163
27.39	0.845165
27.38	0.845168
27.37	0.84517
27.36	0.845172
27.35	0.845175
27.34	0.845177
27.33	0.845179
27.32	0.845182
27.31	0.845184
27.3	0.845186
27.29	0.845188
27.28	0.845191
27.27	0.845193
27.26	0.845195
27.25	0.845198
27.24	0.8452
27.23	0.845202
27.22	0.845205
27.21	0.845207
27.2	0.845209
27.19	0.845212
27.18	0.845214
27.17	0.845216
27.16	0.845218
27.15	0.845221
27.14	0.845223
27.13	0.845225
27.12	0.845228
27.11	0.84523
27.1	0.845232
27.09	0.845235
27.08	0.845237
27.07	0.845239
27.06	0.845242
27.05	0.845244
27.04	0.845246
27.03	0.845249
27.02	0.845251
27.01	0.845253
27	0.845256
26.99	0.845258
26.98	0.845261
26.97	0.845263
26.96	0.845265
